Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonaly adjusted,United States seasonaly adjusted
2016-12-31,174.60736509,131.06086731,137.49364166,173.63886316,207.23445971,174.04298709,131.91368976,329.48856816,153.2158591,189.53076272,132.75416439,262.56203588,138.01361738,168.95214453,125.46835878,122.31891968,139.10506129,135.39378829,159.56460746,160.71241957,177.98064723,163.73301983,107.62958092,141.47709858,135.87183792,131.84501439,188.27677407,139.05545315,215.93755531,139.42444977,148.94197764,156.50866531,147.62332468,160.95792395,167.75117186,114.37246572,149.0976786,197.63086957,158.30093261,165.2674175,140.85208837,162.82656571,151.18231684,178.92759072,169.75315258,178.73338342,166.03717669,194.5988697,132.3953936,145.50367004,185.9988199,167.47499559,168.41551242166
2016-11-30,174.61485787,131.45195109,137.31989512,173.12850099,206.24671526,173.34140749,132.44769388,326.65049162,153.66028974,188.75855975,132.76883414,261.81359156,138.44142387,169.01327338,126.19029149,123.31287537,139.3548588,135.55559373,159.61008915,160.8350988,178.97546795,164.38641547,108.15145612,142.05829221,136.61683396,131.83988888,188.6686612,139.17781502,216.2673974,139.28170213,148.71527808,157.09202451,147.49370834,160.48997027,167.82442472,115.11524262,149.21667408,197.51551625,159.147029,165.68259474,141.47678625,163.67340432,151.30389722,178.93477715,169.75671935,179.49808099,166.29958041,193.43771997,133.27747436,145.86617786,186.76247918,167.46797374,167.45825767063
2016-10-31,174.85170825,132.23122127,137.48804176,172.30848623,205.75816716,173.19440007,132.88386058,325.05120045,154.13862467,188.10046828,132.76853706,260.39056506,139.1360589,169.28147883,126.54359654,124.04951549,139.52253405,136.0048666,159.13118816,160.94598755,179.57647331,164.80568275,108.55036548,142.83774086,136.81403129,131.67180013,188.68824228,139.28982288,216.81110453,139.62051435,148.71581285,157.66819972,147.55241338,159.99430038,168.06414463,115.66826102,149.74634155,197.62228273,159.58931084,165.82807207,141.98688056,164.77719605,151.41739798,179.17940764,170.18091766,180.074502,167.04445922,193.03553369,133.9778929,145.99338926,187.7940186,167.55167533,166.56612536702
2016-09-30,175.46158211,132.94468101,137.79208697,171.04090175,205.50570024,173.03524965,133.36996628,324.62089966,154.72853358,187.21581801,132.66926239,258.86327865,139.92919611,169.38849482,126.79382973,124.55658251,139.92720993,136.59678557,158.58708457,160.87761863,179.4477402,164.68657397,108.58550251,143.43598036,136.61484569,131.53040732,188.18090462,139.34356587,217.30427561,140.49387299,148.9649668,158.28302313,147.88242863,159.4952105,168.71421711,116.26971197,150.40327361,197.81117809,159.99818694,165.5976401,141.63334672,165.34852208,151.36076987,179.04349105,170.37625441,180.43343133,167.92926629,193.00792765,134.28645711,145.95291371,188.45656474,167.58555399,165.66876296222
2016-08-31,176.36696414,133.12301418,137.96216444,169.83651955,205.4247698,172.90642801,134.11079021,325.04636188,155.23172436,186.1735441,132.66882601,257.54132281,140.26688576,169.17594848,127.13628857,125.02108893,140.54844572,137.19134429,158.61961087,160.62720997,179.21260505,164.07865234,108.86040114,143.93107356,136.44304206,131.55969762,187.26029589,139.09395262,217.52630582,141.36442451,149.16802639,158.79993376,148.06483418,158.68336398,168.53823557,116.52170883,150.70009711,197.59910861,160.52879967,165.05435422,140.49298965,165.06491333,150.67056257,178.4431125,170.03475506,180.81307118,168.36382347,192.75249835,134.52312703,145.76985529,188.4084971,167.5105737,164.78511677759
2016-07-31,177.18785739,132.73189592,137.86187661,168.72997175,204.87481684,172.48165544,134.59406141,325.79250856,155.41729585,184.90739506,132.49010346,256.34595246,139.80853849,168.45696813,127.20460904,125.04303101,141.08597266,137.50672119,159.10357432,160.27003219,179.44178442,163.02073052,108.85221467,144.1944403,136.07859646,131.67635547,185.88100968,138.6281566,217.13241591,141.45436416,148.94245505,158.90230031,147.81345422,157.34268989,167.3855497,116.13221331,150.38741073,196.89862264,160.87304061,164.18783837,139.46123501,164.14727696,149.53751953,177.61089052,169.11048754,181.09082561,167.97726704,191.80417081,134.24467233,145.47634897,187.90836538,167.08520757,163.91271993464
2016-06-30,177.48888426,131.90261139,137.25324374,167.77206331,203.72512478,171.40594051,134.09824468,326.32214061,155.25469731,183.32340493,131.89475575,255.40214626,138.58022874,166.91033139,126.57193282,124.26524599,141.05830669,137.02698749,159.20566691,159.34813704,179.38534954,161.60592195,107.69005413,143.48021341,135.18085283,131.58918004,184.19464447,137.82472788,216.14231388,140.5635198,148.22103904,158.24701873,147.01591206,155.82008483,165.61664768,115.26285083,149.5373932,195.38803473,160.35127737,162.894162,138.83275936,162.76843577,148.55000648,176.67600403,167.86730413,180.90843729,166.94754241,190.13749603,133.07722587,144.74129515,187.22453062,166.10496385,163.07487805289
2016-05-31,177.01562837,130.83922001,136.22909949,167.10293952,202.15460052,169.50336064,132.89843086,325.736063,154.92484627,181.30994731,130.83545232,254.51278224,136.76552856,164.46055349,125.36641909,122.64848587,140.04404712,135.45446182,158.57019511,157.64230336,178.02440556,159.99083039,105.78180552,141.52786211,133.7881025,131.10882966,182.36910406,136.53572467,214.91081452,138.83570387,146.98072738,157.03087206,145.54336124,154.35058245,163.14932084,113.79904753,148.5693497,192.62401752,158.53132738,161.14109926,137.87788726,161.21559346,147.45102322,175.15734762,166.37258213,179.67654412,165.66762812,187.92324257,131.20400031,143.39008323,186.36518256,164.50613269,162.26184599676
2016-04-30,176.03941555,129.49828233,135.04253445,166.16023421,200.55270567,166.83249038,131.40510038,324.11071138,154.48247009,179.36382813,128.9166203,252.97822754,135.12071323,161.61365084,123.78735422,120.44114217,138.19694327,133.30538429,157.36395893,155.35464056,175.54342471,157.9769074,103.63403206,138.51124629,132.1177402,130.42426245,180.45738433,134.85827853,213.63730909,136.67093713,145.24451886,155.05003916,143.7232341,152.74220648,160.69913628,111.95701773,147.81601912,188.65025668,155.81847692,158.99011034,136.38865922,159.99297569,145.69574399,173.10198579,164.13302547,177.71710473,164.36637733,185.14728796,129.21228965,141.85239143,185.24355203,162.49765119,161.50139824206
2016-03-31,175.1462224,128.12843602,133.87500636,164.42353465,198.37987482,163.81048133,130.11237643,322.20876429,154.03447925,176.96974581,126.7871011,250.71434667,134.04844934,158.9838402,121.82522039,118.34564681,136.05216621,131.40960935,155.84081867,152.97465689,173.03452339,156.01270331,101.66789444,135.25770404,130.71935203,129.83413114,178.72715326,133.1080482,212.6218163,134.66237991,143.35910143,152.76495671,142.40485824,150.89761365,159.27104723,110.29754007,147.25507174,184.43666128,153.27356063,156.91839341,134.92029003,159.19884163,143.76981977,171.38351385,161.74407045,175.43753938,163.42032833,181.94402892,127.28281654,140.6930105,184.02824789,160.35907955,160.75395800579
